aX,aY,aZ,gX,gY,gZ
1.89,0.36,0.396,54.81,-64.819,-55.176
1.812,0.17,0.399,49.438,-11.963,-40.588
1.519,0.121,0.348,90.393,51.575,-6.775
1.22,0.308,0.182,146.851,107.422,12.817
1.045,0.557,-0.043,169.495,139.709,-0.732
1.057,0.639,-0.208,160.156,133.24,-36.316
1.186,0.516,-0.16,117.859,104.309,-72.083
1.481,0.338,0.049,69.702,73.181,-83.618
2.061,0.252,0.324,44.678,47.852,-77.454
2.611,0.22,0.64,-0.671,43.03,-85.144
2.707,0.155,0.893,-11.108,92.224,-92.712
2.435,0.167,0.658,15.442,175.232,-85.144
2.138,0.306,0.035,8.789,205.505,-71.35
2.028,0.494,-0.367,34.058,177.979,-53.406
2.154,0.736,-0.464,43.945,122.864,-47.18
2.476,0.926,-0.312,33.936,63.904,-64.819
2.811,0.885,-0.034,17.883,23.865,-100.586
2.903,0.628,0.227,18.677,18.555,-125.244
2.943,0.315,0.37,47.119,43.457,-123.291
3.114,0.019,0.373,52.307,79.651,-106.506
3.203,-0.27,0.293,66.04,90.942,-84.9
3.096,-0.513,0.209,61.157,82.703,-58.411
2.905,-0.646,0.18,60.364,57.312,-22.217
2.69,-0.646,0.207,58.838,16.602,7.751
2.373,-0.558,0.307,42.419,-22.705,28.625
1.995,-0.404,0.443,24.841,-45.288,50.232
1.661,-0.179,0.542,10.498,-51.453,67.139
1.444,0.073,0.573,-3.418,-47.546,70.129
1.351,0.262,0.539,-27.283,-39.307,57.983
1.225,0.34,0.446,-46.509,-25.757,49.927
1.008,0.426,0.284,-41.687,-11.108,58.533
0.829,0.641,0.078,-22.278,-2.563,68.909
0.748,0.878,-0.102,-10.864,-1.953,61.157
0.729,0.966,-0.197,-2.197,-6.287,37.903
0.759,0.847,-0.196,5.981,-14.099,13.794
0.842,0.594,-0.107,14.954,-21.423,3.235
0.938,0.352,0.039,23.437,-25.94,8.179
1.007,0.21,0.205,27.039,-25.818,20.63
1.078,0.171,0.351,25.757,-20.752,30.151
1.177,0.171,0.434,15.381,-11.902,29.175
1.287,0.12,0.437,-2.563,-4.272,21.606
1.398,0.007,0.406,-12.329,-2.014,19.348
1.511,-0.099,0.386,-13.184,0.61,28.625
1.617,-0.14,0.372,-8.667,7.385,46.692
1.733,-0.097,0.357,-2.625,15.503,64.941
1.85,0.009,0.335,4.761,23.56,75.623
1.939,0.107,0.285,7.874,31.433,77.942
1.982,0.146,0.211,12.024,32.959,76.233
1.957,0.157,0.143,15.442,30.701,78.491
1.901,0.19,0.099,18.555,26.611,85.51
1.849,0.252,0.082,18.738,16.846,88.135
1.788,0.3,0.117,10.437,2.014,82.214
1.742,0.301,0.224,1.343,-10.925,71.899
1.729,0.27,0.369,-4.944,-17.029,60.242
1.731,0.236,0.503,-13.123,-13.184,49.133
1.765,0.223,0.599,-21.545,-1.709,39.001
1.838,0.237,0.636,-26.367,12.39,24.536
1.906,0.251,0.601,-28.809,23.926,2.869
1.925,0.226,0.502,-26.062,29.175,-20.386
1.865,0.163,0.381,-20.508,29.907,-36.499
1.745,0.113,0.258,-9.216,36.255,-37.476
1.63,0.113,0.153,1.16,42.419,-30.396
1.515,0.116,0.103,-5.066,30.151,-29.48
1.382,0.03,0.156,-38.391,-4.578,-37.903
1.245,-0.138,0.324,-77.881,-52.246,-45.776
1.192,-0.225,0.559,-108.948,-87.585,-39.001
1.472,-0.156,0.808,-140.625,-103.882,-23.254
1.9,-0.037,1.022,-162.292,-95.337,-22.4
1.983,0.057,1.025,-155.945,-59.448,-29.724
1.764,0.157,0.717,-140.259,-20.02,-23.499
1.525,0.255,0.295,-128.174,-4.639,-11.475
1.315,0.259,-0.015,-131.531,-20.691,0.305
1.078,0.151,-0.09,-140.198,-55.908,16.174
0.832,0.037,0.064,-139.709,-89.172,34.79
0.613,0.006,0.278,-121.277,-106.873,45.105
0.473,0.047,0.401,-113.464,-105.774,41.626
0.396,0.102,0.421,-117.371,-90.393,28.992
0.359,0.16,0.354,-123.413,-64.88,14.954
0.425,0.226,0.205,-124.939,-46.631,-4.272
0.562,0.261,0.017,-114.441,-50.537,-34.302
0.671,0.208,-0.15,-83.008,-77.393,-68.542
0.718,0.046,-0.214,-44.678,-117.371,-89.172
0.709,-0.182,-0.122,7.874,-152.771,-85.754
0.661,-0.374,0.065,61.707,-167.664,-58.716
0.584,-0.457,0.251,99.854,-152.344,-16.113
0.479,-0.408,0.339,130.432,-104.858,30.09
0.376,-0.241,0.27,153.748,-40.894,62.561
0.324,-0.014,0.033,161.316,15.015,65.735
0.333,0.156,-0.346,152.771,38.147,36.804
0.348,0.135,-0.63,71.655,27.344,-7.629
0.371,-0.053,-0.751,1.038,0.366,-36.499
0.462,-0.228,-0.841,-62.317,-43.213,-41.687
0.581,-0.32,-0.841,-161.743,-91.736,-33.264
0.672,-0.391,-0.675,-303.955,-124.023,-19.47
0.664,-0.464,-0.343,-454.712,-124.268,0.793
0.577,-0.47,0.026,-505.859,-88.623,32.471
0.474,-0.355,0.232,-464.6,-29.297,65.186
0.369,-0.153,0.188,-394.104,33.691,88.745
0.294,0.041,0.005,-354.187,80.688,94.421
0.23,0.169,-0.15,-295.654,101.929,81.055
0.219,0.219,-0.225,-189.819,102.173,56.519
0.316,0.188,-0.255,-49.744,89.417,26.733
0.439,0.094,-0.253,74.341,70.068,-1.221
0.527,-0.016,-0.22,181.763,47.485,-16.052
0.615,-0.11,-0.149,248.779,28.381,-15.564
0.714,-0.178,-0.042,274.475,19.47,-5.676
0.784,-0.226,0.049,244.324,24.475,10.803
0.803,-0.257,0.105,187.561,38.208,32.959
0.763,-0.25,0.099,148.682,49.988,54.993
0.666,-0.187,0.03,115.356,55.603,72.266
0.547,-0.088,-0.042,88.989,52.734,79.956
0.455,0.005,-0.076,68.359,43.091,74.28
0.426,0.048,-0.063,41.626,31.433,58.167
0.453,0,0.024,-3.235,26.062,42.908
0.519,-0.088,0.111,-20.386,25.818,36.804
0.592,-0.136,0.14,-32.41,25.269,37.048
0.626,-0.144,0.161,-30.457,22.705,39.368
0.643,-0.126,0.18,-8.545,18.25,39.246
0.67,-0.106,0.184,22.278,12.573,33.752
0.682,-0.104,0.147,36.926,6.47,25.574
1.762,-0.261,0.697,119.507,113.892,-7.019
1.699,-0.318,0.413,109.192,114.441,7.874
1.622,-0.263,0.709,-32.227,109.436,26.367
1.529,-0.248,0.748,473.511,124.756,43.457
1.597,0.061,0.073,473.45,108.643,72.083
1.969,0.587,0.024,252.319,98.022,50.171
2.38,0.841,0.081,127.38,56.396,-29.419
2.655,0.692,0.27,19.958,10.01,-105.835
2.835,0.322,0.676,2.014,13.55,-139.343
2.924,0.032,0.816,-15.137,42.175,-142.822
2.926,-0.161,0.769,-35.706,66.284,-133.118
2.883,-0.329,0.719,-29.785,76.66,-113.708
2.82,-0.436,0.714,-13.123,85.815,-83.801
2.779,-0.434,0.718,-4.639,96.863,-55.542
2.716,-0.423,0.736,18.494,104.614,-40.833
2.601,-0.494,0.542,158.142,98.877,-38.025
2.449,-0.554,0.29,155.762,58.533,-34.973
2.356,-0.566,0.258,110.046,19.775,-36.194
2.302,-0.625,0.314,69.763,-15.259,-38.574
2.167,-0.714,0.403,59.814,-37.781,-25.513
2.002,-0.705,0.5,53.467,-43.823,5.31
1.847,-0.519,0.56,49.744,-38.086,32.959
1.672,-0.26,0.54,33.142,-30.273,42.542
1.47,-0.07,0.483,16.418,-29.968,38.757
1.274,0.038,0.438,10.986,-41.321,32.959
1.115,0.12,0.446,8.423,-58.838,27.344
0.991,0.206,0.501,-1.282,-72.205,20.752
0.889,0.294,0.561,-19.043,-71.472,15.442
0.822,0.388,0.575,-28.992,-56.396,11.963
0.814,0.471,0.512,-32.043,-30.151,9.46
0.86,0.508,0.371,-31.067,-3.357,6.775
0.924,0.474,0.186,-26.917,11.108,4.639
0.964,0.384,0.035,-19.104,5.127,5.92
0.974,0.296,0.004,-8.789,-16.479,11.047
0.973,0.244,0.116,-1.16,-39.978,15.808
0.976,0.217,0.311,-1.648,-50.781,16.235
0.995,0.182,0.484,-12.146,-45.959,11.841
1.035,0.119,0.576,-27.527,-34.363,5.066
1.118,0.021,0.595,-40.405,-22.705,0.732
1.218,-0.097,0.567,-41.382,-14.282,2.441
1.299,-0.186,0.525,-30.518,-8.545,13.489
1.394,-0.196,0.488,-12.085,-2.197,31.311
1.5,-0.132,0.449,0.61,6.165,45.776
1.574,-0.064,0.402,6.775,12.146,51.941
1.633,-0.035,0.362,13.977,11.475,52.246
1.717,-0.038,0.354,22.156,9.155,51.331
1.799,-0.052,0.375,26.489,11.353,52.673
1.814,-0.044,0.401,34.302,21.118,59.265
1.798,0.014,0.407,41.626,36.072,65.857
1.815,0.099,0.396,40.833,49.866,64.148
1.874,0.156,0.378,34.973,57.312,52.917
1.916,0.15,0.369,21.423,55.725,35.706
1.896,0.102,0.382,8.484,46.265,20.935
1.86,0.066,0.422,-3.723,35.828,11.597
1.843,0.083,0.491,-10.315,28.809,5.371
1.859,0.126,0.545,-13.367,31.982,-1.709
1.896,0.116,0.536,-27.588,40.771,-7.507
1.936,0.09,0.497,-33.63,41.504,-3.723
1.96,0.088,0.475,-35.4,43.457,3.174
1.926,0.077,0.443,-30.212,41.138,9.155
1.836,0.091,0.451,-33.386,31.921,16.785
1.738,0.146,0.521,-34.119,29.175,21.912
1.646,0.195,0.566,-35.4,31.189,18.982
1.522,0.205,0.542,-31.128,30.945,9.277
1.4,0.178,0.458,-32.471,24.17,0.244
1.322,0.125,0.377,-45.898,10.803,-2.014
1.293,0.067,0.332,-54.504,-7.812,0.305
1.315,0.033,0.301,-65.857,-33.142,7.69
1.35,0.013,0.292,-89.905,-66.711,17.578
1.339,-0.014,0.343,-128.235,-102.417,24.536
1.257,-0.028,0.452,-170.349,-127.93,26.978
1.146,-0.009,0.583,-196.838,-138.489,23.071
1.065,0.017,0.674,-194.397,-137.329,10.864
1.023,0.005,0.697,-206.604,-126.404,-5.249
1,-0.082,0.721,-239.624,-109.924,-20.508
0.963,-0.217,0.749,-266.846,-90.515,-26.428
0.893,-0.325,0.751,-279.846,-67.627,-19.531
0.802,-0.369,0.739,-259.033,-45.105,-7.141
0.738,-0.349,0.683,-205.383,-28.625,2.502
0.731,-0.282,0.578,-135.498,-22.705,4.333
0.734,-0.208,0.454,-56.458,-29.663,-3.601
0.806,-0.176,0.393,17.395,-45.105,-17.456
0.822,-0.186,0.357,86.67,-56.641,-35.706
0.755,-0.219,0.24,154.663,-77.759,-50.049
0.714,-0.287,0.148,174.072,-101.44,-56.396
0.645,-0.363,0.156,180.176,-116.089,-48.34
0.564,-0.39,0.176,190.308,-119.812,-34.729
0.455,-0.384,0.14,163.452,-111.572,-27.466
0.364,-0.392,0.069,115.356,-102.295,-24.353
0.31,-0.408,-0.008,60.913,-94.666,-22.461
0.258,-0.416,-0.087,4.028,-85.754,-21.301
0.226,-0.4,-0.189,-54.565,-76.843,-20.264
0.236,-0.363,-0.293,-116.516,-75.012,-22.095
0.301,-0.319,-0.356,-177.856,-83.862,-27.161
