aX,aY,aZ,gX,gY,gZ
0.279,-1.108,1.263,-38.147,-7.874,-48.828
0.316,-1.132,1.327,-44.617,-11.719,-44.922
0.366,-1.13,1.408,-54.504,-15.869,-42.053
0.413,-1.128,1.494,-66.406,-15.747,-42.542
0.457,-1.156,1.569,-78.674,-14.038,-43.274
0.504,-1.207,1.648,-88.684,-16.785,-40.222
0.552,-1.242,1.754,-95.52,-19.836,-32.593
0.626,-1.235,1.854,-106.201,-14.893,-24.475
0.724,-1.201,1.876,-126.709,-6.653,-19.287
0.814,-1.192,1.82,-143.066,-8.423,-19.531
0.897,-1.255,1.773,-151.306,-25.574,-20.63
0.983,-1.391,1.819,-154.053,-49.316,-12.695
1.034,-1.529,1.966,-152.832,-66.833,11.719
1.054,-1.568,2.148,-150.696,-68.176,52.979
1.055,-1.442,2.27,-153.198,-50.842,97.961
1.035,-1.158,2.254,-158.142,-25.452,129.028
1.009,-0.814,2.09,-167.053,-7.751,132.69
0.973,-0.557,1.859,-178.223,-10.071,108.032
0.952,-0.523,1.672,-194.824,-31.555,65.613
0.966,-0.755,1.591,-217.224,-58.105,32.288
0.973,-1.101,1.588,-225.403,-80.994,32.776
0.963,-1.336,1.645,-226.135,-102.051,67.017
0.967,-1.364,1.801,-223.145,-118.347,116.516
0.957,-1.254,2.014,-226.318,-115.356,162.842
0.9,-1.111,2.177,-234.253,-88.379,206.604
0.802,-0.898,2.209,-226.868,-50.903,254.761
0.7,-0.553,2.128,-213.44,-16.602,296.692
0.617,-0.123,2.009,-190.613,11.047,323.059
0.525,0.299,1.863,-164.734,35.034,327.576
0.454,0.64,1.673,-158.203,58.044,312.134
0.407,0.868,1.401,-156.677,74.402,282.959
0.343,0.988,1.087,-174.988,71.594,248.474
0.29,1.057,0.832,-194.519,46.997,218.872
0.25,1.104,0.69,-231.567,8.118,191.04
0.202,1.092,0.694,-282.166,-26.917,165.161
0.118,1.005,0.804,-326.111,-38.574,152.344
0.009,0.923,0.901,-351.074,-14.954,156.738
-0.054,0.999,0.887,-353.394,35.889,181.458
-0.061,1.246,0.709,-334.717,108.276,210.937
-0.106,1.575,0.32,-287.354,207.458,242.554
-0.13,2.014,-0.306,-203.247,327.698,276.55
0.021,2.546,-1.114,-108.704,444.885,292.969
0.327,2.93,-1.926,25.146,535.95,263.794
0.713,2.847,-2.889,306.946,583.191,166.931
0.983,2.27,-3.735,301.147,584.656,9.094
0.974,1.405,-3.999,316.101,411.438,-125.61
0.737,0.52,-3.999,54.626,41.931,-193.726
0.542,0.068,-3.653,-261.719,-300.476,-185.364
0.494,0.047,-2.507,-186.523,-495.544,-159.424
0.473,0.086,-1.069,-72.632,-592.712,-136.963
0.42,0.081,0.248,2.563,-589.05,-126.465
0.272,0.008,1.479,31.067,-452.271,-120.667
0.057,-0.194,2.237,58.411,-181.03,-111.938
-0.072,-0.464,1.968,129.944,113.464,-75.134
-0.07,-0.59,0.805,173.34,287.537,-17.822
-0.051,-0.503,-0.373,203.674,320.374,38.879
-0.055,-0.279,-1.139,231.445,266.602,83.801
-0.069,0.023,-1.535,254.944,173.279,107.178
-0.086,0.353,-1.643,259.338,68.726,102.905
-0.095,0.652,-1.499,254.883,-30.762,73.059
-0.079,0.852,-1.163,246.338,-112.854,26.489
-0.036,0.906,-0.731,236.023,-166.748,-26.611
0.03,0.805,-0.301,215.332,-188.171,-78.979
0.085,0.563,0.053,201.843,-180.908,-117.126
0.096,0.262,0.293,209.534,-159.79,-125.916
0.044,0.036,0.445,233.887,-138.489,-102.478
-0.01,-0.015,0.576,262.146,-118.469,-59.631
0.007,0.112,0.689,293.091,-91.614,-22.583
0.027,0.329,0.762,308.777,-59.875,-4.395
0.027,0.521,0.806,358.276,-30.396,-0.61
0.055,0.661,0.761,376.953,1.038,-8.85
0.126,0.737,0.659,357.056,22.461,-21.484
0.215,0.758,0.459,354.065,18.005,-37.537
0.289,0.76,0.221,299.072,-24.231,-50.049
0.384,0.81,0.118,268.433,-106.079,-55.969
0.537,0.971,0.219,247.314,-219.055,-65.369
0.775,1.15,0.633,224.304,-341.064,-94.116
1.033,1.215,1.379,169.556,-441.04,-145.081
1.233,1.13,2.458,132.08,-485.046,-201.477
1.444,0.927,3.513,158.691,-426.331,-249.939
1.634,0.58,3.973,167.664,-249.878,-293.579
1.719,0.035,3.962,172.546,-29.541,-315.674
1.721,-0.556,3.575,161.194,106.506,-294.861
1.643,-1.007,2.976,186.401,108.337,-245.789
1.491,-1.366,2.752,239.929,30.884,-189.575
1.298,-1.665,3.025,279.358,-37.048,-121.826
1.114,-1.781,3.47,286.682,-38.879,-39.001
0.93,-1.623,3.67,240.479,16.479,39.551
0.737,-1.219,3.455,176.392,75.928,85.205
0.578,-0.721,2.951,121.948,104.492,79.224
0.521,-0.335,2.39,80.078,110.474,21.057
0.582,-0.23,1.879,44.067,104.98,-73.364
0.67,-0.496,1.471,18.921,85.999,-170.044
0.731,-1.033,1.194,20.508,50.293,-238.647
0.785,-1.66,1.131,-11.414,2.869,-260.681
0.781,-2.219,1.299,-34.119,-32.776,-226.44
0.687,-2.546,1.474,-38.147,-36.804,-147.583
0.549,-2.54,1.505,-74.524,-18.555,-44.434
0.401,-2.2,1.42,-97.412,-8.545,49.988
0.257,-1.674,1.324,-95.459,-18.799,110.168
0.13,-1.169,1.318,-77.209,-35.095,136.353
0.024,-0.768,1.381,-65.186,-37.842,142.273
-0.066,-0.45,1.434,-68.176,-21.973,140.076
-0.119,-0.173,1.418,-75.012,4.822,132.446
-0.137,0.079,1.311,-73.547,32.227,114.563
-0.128,0.283,1.125,-61.89,52.49,82.825
-0.068,0.406,0.926,-47.729,57.8,36.865
0.036,0.405,0.777,-34.79,46.326,-17.883
0.15,0.243,0.719,-21.545,24.414,-70.129
0.251,-0.063,0.778,-3.906,3.967,-100.525
0.327,-0.406,0.894,14.16,-2.014,-100.403
0.382,-0.667,0.978,23.499,6.47,-74.036
0.419,-0.79,0.981,24.841,19.165,-33.63
0.441,-0.762,0.91,25.085,25.208,6.47
0.442,-0.625,0.825,23.132,21.24,36.865
0.415,-0.451,0.785,19.653,12.268,54.138
0.37,-0.286,0.792,23.071,4.333,59.814
0.315,-0.145,0.818,24.719,-0.793,56.946
0.267,-0.037,0.848,22.217,-3.235,46.509
0.237,0.027,0.87,11.475,-2.502,30.884
0.357,-0.979,1.265,-57.739,-20.264,-17.09
0.38,-1,1.317,-63.965,-25.269,-13.062
0.416,-1.014,1.403,-70.251,-30.823,-11.536
0.456,-1.045,1.502,-82.52,-30.579,-10.986
0.487,-1.103,1.571,-99.792,-25.696,-7.629
0.507,-1.176,1.617,-107.422,-22.644,0.427
0.52,-1.25,1.7,-107.117,-25.94,13.672
0.527,-1.306,1.855,-101.624,-29.663,33.752
0.51,-1.304,2.044,-100.769,-23.865,58.899
0.485,-1.205,2.207,-106.567,-7.751,81.238
0.487,-1.021,2.303,-118.286,9.338,88.684
0.53,-0.832,2.328,-130.493,22.949,74.707
0.621,-0.757,2.295,-146.667,31.799,43.152
0.739,-0.893,2.222,-167.297,35.828,10.315
0.844,-1.182,2.135,-179.687,35.767,-1.099
0.925,-1.44,2.053,-183.96,31.616,17.639
0.988,-1.521,2.005,-185.791,21.79,52.124
1.049,-1.42,2.003,-182.922,10.925,78.369
1.104,-1.274,1.989,-195.435,5.981,84.229
1.123,-1.213,1.907,-221.985,2.075,79.529
1.109,-1.231,1.771,-247.864,-14.709,79.468
1.082,-1.256,1.673,-274.719,-44.006,88.257
1.042,-1.234,1.689,-294.006,-75.745,107.727
0.996,-1.151,1.825,-306.641,-96.069,133.362
0.946,-1.029,2.003,-316.162,-94.421,161.865
0.862,-0.892,2.131,-318.176,-76.599,192.932
0.751,-0.737,2.193,-313.049,-50.842,230.042
0.629,-0.499,2.206,-292.786,-17.151,275.696
0.516,-0.108,2.149,-257.324,23.56,320.068
0.43,0.398,1.979,-226.196,68.604,347.351
0.364,0.903,1.676,-195.557,106.201,342.59
0.312,1.283,1.272,-187.073,123.657,305.115
0.246,1.477,0.856,-191.833,113.892,249.207
0.179,1.503,0.518,-206.238,78.674,190.125
0.133,1.426,0.318,-239.258,27.405,141.113
0.135,1.302,0.278,-286.377,-23.01,104.187
0.168,1.099,0.363,-347.595,-55.298,75.317
0.157,0.81,0.505,-389.709,-59.937,63.66
0.109,0.575,0.605,-393.433,-41.016,82.825
0.058,0.554,0.616,-369.507,-3.967,130.188
0.019,0.774,0.52,-333.801,57.556,181.702
0.022,1.149,0.261,-295.532,140.32,223.877
0.064,1.577,-0.186,-259.094,238.22,258.667
0.11,2.032,-0.784,-197.083,343.201,289.429
0.22,2.513,-1.469,-104.126,432.556,304.749
0.418,2.859,-2.045,47.119,481.506,276.062
0.659,2.816,-2.9,331.299,488.464,178.589
0.801,2.401,-3.765,220.398,450.989,32.104
0.75,1.834,-3.999,119.629,290.71,-84.229
0.617,1.264,-3.982,5.066,17.517,-153.137
0.525,0.844,-3.431,-113.403,-257.996,-177.246
0.509,0.649,-2.291,-63.843,-445.679,-180.237
0.512,0.524,-0.949,-34.119,-540.833,-188.721
0.425,0.343,0.279,109.68,-534.546,-185.242
0.204,0.086,1.368,67.078,-393.738,-166.382
-0.047,-0.196,1.998,151.794,-134.338,-121.887
-0.168,-0.341,1.524,220.337,112.244,-51.819
-0.165,-0.26,0.418,259.46,228.638,11.841
-0.161,-0.027,-0.531,272.217,221.436,53.406
-0.166,0.259,-1.036,293.335,147.4,73.853
-0.131,0.572,-1.185,306.274,53.711,68.787
-0.074,0.862,-1.052,296.204,-31.799,37.17
-0.017,1.035,-0.724,273.56,-94.238,-11.78
0.019,1.033,-0.327,253.113,-128.54,-60.852
