aX,aY,aZ,gX,gY,gZ
-0.912,-0.169,1.631,-60.364,-38.574,15.747
-1.004,-0.156,1.6,-61.34,-43.762,20.325
-1.094,-0.2,1.542,-63.721,-55.298,23.926
-1.19,-0.255,1.489,-67.688,-69.275,29.297
-1.29,-0.312,1.445,-70.068,-87.463,30.823
-1.372,-0.401,1.433,-70.374,-111.267,34.912
-1.404,-0.467,1.465,-69.092,-136.23,42.603
-1.392,-0.495,1.52,-63.11,-159.302,46.265
-1.37,-0.532,1.568,-56.458,-177.734,45.227
-1.366,-0.582,1.579,-50.781,-191.833,44.434
-1.36,-0.617,1.537,-43.579,-204.59,44.739
-1.333,-0.638,1.46,-35.645,-216.858,46.387
-1.291,-0.644,1.36,-27.649,-226.99,50.781
-1.241,-0.623,1.222,-22.095,-234.741,56.274
-1.166,-0.568,1.043,-19.897,-241.028,62.805
-1.066,-0.511,0.856,-19.897,-248.291,70.19
-0.931,-0.468,0.707,-24.719,-253.052,80.688
-0.765,-0.361,0.634,-36.072,-249.573,91.187
-0.586,-0.222,0.592,-42.175,-232.361,93.079
-0.4,-0.168,0.505,-46.753,-208.557,89.966
-0.241,-0.146,0.385,-48.767,-180.542,86.914
-0.119,-0.121,0.25,-76.904,-153.381,77.515
-0.034,-0.141,0.155,-94.788,-137.878,64.087
0,-0.217,0.128,-92.712,-125.427,53.04
0.016,-0.398,0.089,-70.679,-119.629,51.819
0.136,-0.664,0.078,-38.818,-127.014,71.228
0.325,-0.914,0.157,-9.521,-122.192,109.741
0.519,-1.106,0.083,14.648,-78.918,158.813
0.771,-1.148,-0.345,23.743,-25.696,209.717
1.032,-0.935,-0.968,11.597,5.554,232.239
1.134,-0.627,-1.508,6.958,8.85,203.186
1,-0.556,-1.845,14.16,0.488,129.578
0.703,-0.807,-2.078,10.437,-8.545,39.795
0.347,-1.184,-2.315,8.606,-38.269,-50.049
0.014,-1.536,-2.443,12.024,-108.032,-140.259
-0.174,-1.854,-2.246,10.376,-202.637,-219.36
-0.167,-2.169,-1.675,2.686,-285.4,-265.686
-0.126,-2.454,-0.824,-4.639,-328.125,-267.578
-0.206,-2.71,0.078,13.428,-305.908,-225.403
-0.333,-3.013,0.645,50.598,-210.205,-136.841
-0.235,-3.193,0.634,83.191,-79.529,-0.549
0.248,-3.115,0.225,106.14,26.733,131.104
0.979,-2.922,-0.117,108.154,94.727,229.004
1.718,-2.544,-0.255,81.421,154.114,294.861
2.249,-1.913,-0.438,49.316,194.336,304.26
2.431,-1.295,-0.737,30.762,180.237,246.094
2.302,-0.904,-0.896,56.152,129.395,145.142
2.017,-0.874,-0.933,51.208,79.346,32.349
1.658,-1.122,-0.968,36.621,10.62,-44.739
1.313,-1.335,-0.735,19.287,-58.35,-80.872
1.023,-1.474,-0.344,2.014,-76.782,-91.431
0.774,-1.577,-0.044,-15.137,-56.03,-79.712
0.593,-1.601,0.17,-7.324,-11.353,-55.054
0.463,-1.539,0.226,-9.888,45.898,-24.231
0.377,-1.41,0.159,-26.123,89.478,-3.052
0.303,-1.269,0.093,-29.236,113.037,1.16
0.216,-1.168,0.048,-19.531,120.3,-4.883
0.128,-1.091,0.026,-1.099,112.427,-13.855
0.062,-1.003,0.066,18.799,97.961,-27.161
0.012,-0.923,0.157,37.354,88.562,-43.396
-0.05,-0.888,0.218,50.842,87.402,-58.777
-0.121,-0.885,0.245,58.167,85.754,-66.223
-0.194,-0.845,0.316,64.941,90.149,-67.383
-0.281,-0.775,0.385,73.486,106.506,-66.467
-0.365,-0.708,0.383,82.886,124.512,-60.608
-0.414,-0.621,0.366,87.585,137.573,-50.232
-0.43,-0.525,0.38,85.999,150.085,-39.001
-0.423,-0.457,0.397,86.243,162.415,-31.128
-0.394,-0.405,0.402,81.299,169.006,-28.076
-0.373,-0.342,0.423,80.017,166.26,-33.264
-0.375,-0.288,0.472,85.51,158.691,-47.668
-0.387,-0.261,0.533,92.041,147.644,-65.796
-0.412,-0.259,0.614,96.436,133.85,-84.351
-0.441,-0.284,0.702,100.159,119.629,-99.487
-0.464,-0.332,0.786,100.098,107.788,-109.131
-0.471,-0.385,0.906,86.609,103.943,-109.07
-0.474,-0.41,1.044,78.186,113.22,-102.173
-0.499,-0.396,1.12,73.853,133.667,-91.064
-0.524,-0.351,1.094,71.045,154.724,-78.491
-0.507,-0.279,1.012,61.157,168.945,-66.101
-0.485,-0.176,0.908,48.462,169.434,-61.768
-0.518,-0.087,0.904,39.001,155.029,-60.73
-0.545,0,0.987,41.443,152.954,-62.927
-0.566,0.06,0.941,46.631,144.226,-71.411
-0.615,0.081,0.94,36.56,112,-76.477
-0.657,0.134,1.118,29.724,93.628,-79.956
-0.697,0.226,1.201,23.926,93.75,-86.182
-0.755,0.267,1.153,21.79,83.374,-95.276
-0.805,0.221,1.109,20.325,68.298,-96.985
-0.821,0.17,1.078,10.62,48.035,-92.407
-0.799,0.132,1.151,-4.944,26.978,-86.487
-0.757,0.057,1.287,-12.756,22.888,-79.529
-0.713,-0.043,1.355,-21.973,27.588,-67.932
-0.657,-0.091,1.384,-30.762,35.828,-53.955
-0.606,-0.113,1.35,-33.875,45.349,-44.067
-0.562,-0.161,1.236,-37.598,44.556,-32.104
-0.504,-0.187,1.149,-38.696,31.738,-21.24
-0.434,-0.205,1.132,-36.072,16.846,-16.418
-0.356,-0.242,1.143,-28.015,8.057,-14.709
-0.283,-0.282,1.139,-18.799,6.042,-15.259
-0.241,-0.336,1.101,-12.878,7.08,-17.822
-0.22,-0.407,1.052,-4.456,5.005,-19.409
-0.202,-0.458,1.029,9.827,0.244,-17.761
-0.189,-0.471,1.034,21.79,-1.526,-16.541
-0.179,-0.483,1.036,28.32,-0.61,-18.127
-0.172,-0.504,1.018,31.494,0.427,-18.799
-0.168,-0.505,0.982,31.738,0.305,-19.043
-0.162,-0.504,0.939,29.297,-1.16,-21.057
-0.157,-0.503,0.9,25.574,-2.136,-22.339
-0.153,-0.493,0.871,23.56,-3.479,-24.048
-0.155,-0.496,0.86,23.01,-4.639,-25.574
-0.172,-0.514,0.849,15.869,-4.883,-24.109
-0.18,-0.52,0.868,10.254,-7.385,-20.386
-0.179,-0.519,0.915,11.902,-3.54,-16.418
-0.179,-0.521,0.922,16.907,1.343,-11.23
-0.169,-0.514,0.913,19.47,1.831,-6.165
-0.149,-0.491,0.911,18.86,1.404,-2.075
-0.13,-0.467,0.905,16.785,-0.793,-1.404
-0.115,-0.466,0.909,14.221,-4.7,-2.075
-0.102,-0.47,0.928,10.498,-6.775,-2.136
-0.876,-0.173,1.669,-54.26,-141.357,95.947
-0.909,-0.132,1.614,-57.8,-142.151,108.215
-0.912,-0.038,1.491,-60.791,-143.433,116.272
-0.891,0.064,1.328,-61.462,-153.992,116.455
-0.85,0.134,1.188,-61.279,-172.791,109.009
-0.792,0.178,1.086,-61.707,-193.97,96.375
-0.745,0.196,0.996,-63.721,-212.28,79.529
-0.738,0.149,0.943,-65.552,-229.614,61.707
-0.732,0.062,0.937,-73.608,-231.323,58.289
-0.715,-0.014,0.909,-90.027,-223.694,63.232
-0.7,-0.111,0.875,-103.21,-209.9,74.829
-0.693,-0.215,0.834,-115.845,-182.312,96.191
-0.67,-0.301,0.747,-118.469,-150.33,124.817
-0.582,-0.354,0.638,-118.713,-118.652,157.715
-0.448,-0.327,0.478,-120.117,-86.731,182.861
-0.316,-0.167,0.193,-128.052,-59.57,190.857
-0.21,0.083,-0.191,-133.24,-55.42,170.227
-0.127,0.204,-0.516,-129.7,-76.965,122.864
-0.07,0.097,-0.674,-121.46,-104.98,70.007
-0.045,-0.17,-0.701,-112.061,-123.23,27.222
-0.031,-0.517,-0.629,-100.708,-128.357,5.737
-0.026,-0.866,-0.463,-89.05,-112.549,6.409
-0.036,-1.123,-0.307,-69.58,-73.608,21.24
-0.062,-1.251,-0.36,-44.861,-21.973,31.006
-0.139,-1.291,-0.727,-32.349,22.888,22.339
-0.262,-1.343,-1.264,-32.471,33.813,-13.306
-0.386,-1.524,-1.659,-40.71,5.615,-67.932
-0.462,-1.834,-1.704,-43.457,-42.542,-118.469
-0.53,-2.26,-1.501,-29.602,-81.787,-152.71
-0.59,-2.727,-1.189,-4.211,-109.436,-151.794
-0.542,-3.062,-0.774,18.005,-109.192,-109.497
-0.354,-3.194,-0.421,33.997,-61.951,-44.067
-0.004,-3.158,-0.376,51.941,6.226,25.696
0.461,-2.96,-0.574,63.782,52.551,86.67
0.926,-2.633,-0.796,69.031,72.083,119.141
1.323,-2.3,-0.992,68.604,70.74,118.896
1.655,-1.995,-1.058,68.604,48.706,90.027
1.842,-1.849,-0.955,94.849,18.433,38.33
1.808,-1.808,-0.73,72.388,-5.493,6.348
1.658,-1.72,-0.372,42.419,-10.742,-30.396
1.372,-1.786,-0.135,64.514,3.052,-65.796
1.015,-1.904,-0.127,45.654,23.132,-65.186
0.702,-1.849,-0.166,22.644,39.551,-60.791
0.441,-1.746,-0.209,7.446,59.937,-61.462
0.263,-1.656,-0.276,6.836,71.106,-57.617
0.126,-1.523,-0.283,2.686,71.411,-56.702
0.002,-1.4,-0.207,4.089,71.472,-65.186
-0.115,-1.336,-0.14,10.864,70.862,-75.806
-0.207,-1.297,-0.07,16.052,67.444,-80.688
-0.285,-1.242,0.035,24.658,68.298,-80.811
-0.362,-1.174,0.128,38.879,78.003,-79.468
-0.419,-1.123,0.173,56.213,89.233,-75.317
-0.454,-1.063,0.199,69.336,99.976,-66.345
-0.484,-0.975,0.195,82.031,112.793,-56.396
-0.5,-0.895,0.13,91.431,123.413,-47.302
-0.486,-0.813,0.053,93.384,128.845,-36.072
-0.448,-0.683,0.022,92.102,129.944,-24.414
-0.408,-0.535,0.037,93.933,130.554,-20.081
-0.381,-0.43,0.08,91.553,132.385,-24.414
-0.365,-0.378,0.143,91.858,131.897,-32.41
-0.353,-0.361,0.228,94.238,131.592,-39.429
-0.34,-0.339,0.314,96.802,134.399,-43.396
-0.333,-0.283,0.391,103.76,137.207,-48.706
-0.339,-0.245,0.439,113.342,140.869,-55.542
-0.352,-0.254,0.429,120.361,141.663,-61.279
-0.366,-0.287,0.406,123.413,137.634,-66.162
-0.373,-0.323,0.401,125.427,134.094,-70.19
-0.379,-0.365,0.408,118.042,132.446,-73.181
-0.399,-0.388,0.441,101.99,131.775,-70.068
-0.431,-0.336,0.515,84.106,130.798,-61.768
-0.447,-0.245,0.609,72.083,131.836,-55.908
-0.437,-0.183,0.67,61.401,137.756,-53.406
-0.421,-0.126,0.647,58.044,141.602,-53.589
-0.425,-0.094,0.569,54.993,135.01,-59.509
-0.434,-0.125,0.516,53.284,119.507,-64.392
-0.427,-0.172,0.508,49.561,102.661,-68.298
-0.424,-0.196,0.549,40.039,85.693,-75.867
-0.439,-0.222,0.664,32.166,70.129,-84.106
-0.466,-0.214,0.836,21.179,60.364,-85.144
-0.468,-0.113,1.003,7.141,62.073,-83.008
-0.461,-0.008,1.076,4.456,78.369,-85.022
-0.493,0.01,0.978,9.46,97.717,-87.28
-0.537,-0.054,0.746,9.644,103.638,-87.708
-0.6,-0.152,0.57,-9.766,83.313,-87.28
-0.677,-0.228,0.73,-16.296,52.673,-81.543
-0.73,-0.277,1.081,-14.099,55.298,-71.838
-0.78,-0.307,1.31,-12.756,64.636,-56.458
-0.819,-0.245,1.507,-8.911,74.036,-36.072
-0.826,-0.11,1.574,4.333,100.464,-22.217
-0.813,-0.064,1.339,13.733,113.464,-15.381
-0.786,-0.07,1.056,13.062,94.849,-7.69
-0.735,-0.051,0.962,12.024,64.636,-8.545
-0.672,-0.083,1.012,9.277,35.583,-18.982
-0.625,-0.175,1.165,-2.258,14.526,-29.663
-0.609,-0.299,1.344,-7.812,9.583,-35.95
-0.616,-0.413,1.444,-7.629,13.733,-32.776
-0.631,-0.471,1.46,-4.578,21.729,-26.489
-0.645,-0.519,1.399,3.052,26.917,-17.822
-0.633,-0.552,1.312,8.85,25.452,-5.005
-0.592,-0.536,1.267,13.794,23.376,6.897
-0.532,-0.498,1.23,14.832,25.635,14.526
-0.471,-0.462,1.16,13.489,28.442,17.151
-0.421,-0.437,1.067,9.277,27.222,18.127
-0.376,-0.385,0.972,11.108,21.423,15.686
-0.331,-0.342,0.906,16.357,10.864,6.531
-0.29,-0.337,0.869,16.663,2.625,-3.174
-0.257,-0.331,0.838,15.32,-5.188,-13.855
-0.243,-0.349,0.825,16.052,-14.282,-26.306
-0.256,-0.415,0.841,17.273,-23.254,-35.828
-0.274,-0.49,0.89,19.104,-31.738,-38.879
-0.279,-0.532,0.969,23.499,-35.767,-37.537
-0.274,-0.559,1.022,29.297,-32.349,-34.668
-0.258,-0.578,1.01,30.823,-25.452,-29.48
-0.235,-0.575,0.962,29.236,-19.348,-23.56
-0.214,-0.562,0.908,24.658,-15.137,-17.944
-0.188,-0.538,0.873,19.531,-13.306,-13.733
-0.159,-0.514,0.861,14.587,-10.376,-12.207
-0.142,-0.504,0.834,7.08,-7.507,-13.733
-0.149,-0.508,0.807,3.662,-10.681,-16.541
-0.161,-0.526,0.814,7.019,-17.517,-17.456
-0.786,-1.324,-2.077,1.526,90.942,-36.133
-0.95,-1.577,-2.364,5.188,-10.132,-83.252
-0.921,-1.69,-2.08,6.531,-97.9,-121.521
-0.858,-1.832,-1.615,6.47,-121.216,-147.949
-0.847,-2.122,-1.475,5.737,-103.027,-152.466
-0.751,-2.441,-1.592,3.113,-92.224,-128.113
-0.502,-2.66,-1.562,2.319,-94.238,-82.458
-0.12,-2.778,-1.302,4.883,-79.041,-30.884
0.308,-2.784,-1.019,0.366,-39.917,22.217
0.702,-2.67,-0.836,-1.16,4.15,66.65
1.053,-2.544,-0.746,3.052,42.48,96.436
1.35,-2.423,-0.709,-1.587,69.153,118.652
1.542,-2.157,-0.612,5.249,83.435,127.686
1.569,-1.816,-0.545,34.241,97.9,98.022
1.435,-1.606,-0.645,31.799,100.525,53.528
1.19,-1.473,-0.808,19.958,78.064,8.606
0.897,-1.412,-0.895,11.047,38.574,-43.64
0.615,-1.441,-0.834,6.104,5.737,-82.458
0.364,-1.504,-0.672,-0.854,-10.498,-105.347
0.159,-1.579,-0.455,-17.151,-9.644,-107.056
0.024,-1.589,-0.197,-30.518,8.179,-95.459
