aX,aY,aZ,gX,gY,gZ
2.296,-0.457,0.096,73.547,-134.338,-35.034
2.697,-0.313,0.774,50.842,-162.292,10.559
2.931,-0.074,1.409,34.729,-136.414,37.231
2.946,0.328,1.587,13.062,-78.918,67.078
2.903,0.986,1.438,-22.461,-60.486,71.472
2.913,1.4,1.625,-58.655,-96.985,10.925
2.933,1.022,2.333,-87.158,-108.887,-66.65
2.856,0.09,2.932,-106.934,-38.574,-81.177
2.65,-0.684,2.772,-115.356,78.735,-26.428
2.398,-0.907,1.901,-107.3,164.185,41.199
2.128,-0.762,0.917,-76.05,183.044,73.792
1.841,-0.561,0.274,-20.203,156.921,72.693
1.602,-0.342,-0.009,41.87,124.146,64.453
1.454,-0.036,-0.069,94.666,100.22,60.486
1.41,0.306,-0.01,130.798,81.177,53.04
1.496,0.565,0.14,120.667,64.27,45.776
1.631,0.657,0.471,60.242,45.654,42.847
1.608,0.541,0.922,-15.015,48.767,48.096
1.368,0.35,1.08,-73.914,95.642,68.054
1.016,0.259,0.745,-92.224,138.123,84.717
0.658,0.239,0.258,-74.951,135.315,80.933
0.329,0.169,0.036,-44.189,97.473,61.462
0.057,-0.015,0.143,2.258,57.739,41.138
-0.134,-0.203,0.348,32.41,40.649,43.091
-0.244,-0.219,0.487,36.987,33.142,63.049
-0.292,-0.049,0.581,34.363,20.691,80.505
-0.303,0.176,0.714,39.612,3.296,86.731
-0.285,0.359,0.884,47.485,-7.019,82.153
-0.258,0.524,1.027,51.331,-8.667,71.838
-0.242,0.729,1.157,44.861,-13.672,57.739
-0.258,0.92,1.326,39.612,-14.648,35.645
-0.292,0.948,1.442,35.278,3.906,4.822
-0.333,0.745,1.388,18.188,23.865,-21.79
-0.402,0.424,1.271,-4.456,17.639,-30.029
-0.494,0.17,1.244,-18.188,0.061,-23.499
-0.575,0.067,1.324,-32.227,-15.93,-16.602
-0.646,0.061,1.496,-38.33,-26.794,-14.221
-0.742,0.086,1.685,-43.396,-19.836,-13.977
-0.872,0.143,1.781,-49.561,2.808,-14.343
-1.005,0.202,1.776,-46.875,32.837,-20.02
-1.166,0.206,1.704,-45.959,67.566,-27.283
-1.429,0.244,1.524,-62.073,116.394,-15.869
-1.831,0.47,1.103,-73.73,176.392,8.057
-2.252,0.868,0.261,-44.739,235.962,20.02
-2.487,1.217,-0.934,9.583,242.065,-8.789
-2.418,1.252,-1.907,52.063,140.869,-74.28
-2.005,0.833,-1.963,76.111,-33.875,-144.165
-1.34,0.152,-0.994,108.215,-185.608,-177.124
-0.62,-0.398,0.385,121.277,-247.803,-168.884
0.01,-0.672,1.567,78.43,-215.027,-148.01
0.442,-0.829,2.274,52.551,-137.756,-119.202
0.648,-0.938,2.526,27.893,-59.021,-74.463
0.654,-0.895,2.464,8.789,12.817,-27.161
0.497,-0.688,2.109,-3.906,72.449,6.226
0.27,-0.445,1.586,-17.212,102.539,18.311
0.04,-0.305,1.148,-16.418,95.642,15.625
-0.158,-0.267,0.934,-9.399,76.294,11.475
-0.295,-0.246,0.872,-5.188,62.5,13.916
-0.375,-0.181,0.854,-7.751,54.993,17.395
-0.44,-0.107,0.81,2.136,48.828,23.437
-0.478,0.026,0.729,-13.733,44.678,32.166
-0.5,0.158,0.644,-14.404,32.776,24.475
-0.503,0.168,0.582,-1.221,13.855,19.409
-0.472,0.159,0.64,9.216,-8.24,19.897
-0.426,0.207,0.818,18.982,-14.587,22.644
-0.364,0.26,0.928,22.095,-2.625,16.174
-0.304,0.203,0.882,18.127,5.188,3.845
-0.256,0.061,0.792,-0.732,-0.305,1.77
-0.223,-0.015,0.78,-26.917,-13.55,11.353
-0.196,0.02,0.873,-40.894,-21.79,18.127
-0.172,0.052,0.997,-34.485,-18.127,12.512
-0.161,0.008,1.033,-20.02,-5.737,5.249
-0.139,-0.055,0.968,-11.292,0,6.897
-0.114,-0.053,0.928,-10.742,-8.728,16.174
-0.104,0.032,1.003,-7.507,-17.944,24.17
-0.105,0.125,1.105,-3.418,-13.367,21.118
-0.13,0.125,1.115,-1.343,0.977,12.146
-0.161,0.062,1.01,3.235,10.315,9.155
-0.165,0.044,0.883,1.709,6.775,11.169
-0.154,0.085,0.865,0.427,-6.897,12.268
-0.143,0.135,0.958,5.92,-16.113,9.094
-0.13,0.143,1.055,9.033,-13.184,3.906
-0.123,0.109,1.072,10.071,-6.042,1.343
