aX,aY,aZ,gX,gY,gZ
-1.79,0.568,0.667,63.721,15.137,200.378
-1.98,0.598,0.788,70.923,-14.038,204.346
-2.058,0.729,1.098,72.51,-23.254,199.341
-2.107,0.835,1.401,84.167,26.855,161.56
-2.187,0.731,1.328,86.548,84.29,126.831
-2.202,0.612,1.025,65.247,111.328,113.159
-2.18,0.626,0.748,48.767,120.239,92.957
-2.176,0.663,0.494,39.368,112.671,72.449
-2.17,0.646,0.325,20.874,93.018,57.678
-2.182,0.555,0.281,1.831,72.998,46.387
-2.187,0.44,0.291,-21.912,49.561,53.528
-2.118,0.455,0.366,-26.978,31.677,59.692
-2.024,0.527,0.46,-22.217,33.203,42.725
-1.952,0.519,0.456,-13.977,41.626,23.804
-1.868,0.513,0.362,-9.094,46.814,11.475
-1.764,0.533,0.239,1.831,44.495,0.305
-1.654,0.53,0.137,10.62,37.048,-11.292
-1.544,0.48,0.069,15.808,27.771,-23.437
-1.439,0.388,0.014,17.822,18.188,-33.325
-1.349,0.286,-0.028,8.667,7.812,-37.964
-1.272,0.199,-0.026,-2.625,-3.235,-38.025
-1.203,0.144,0.01,-7.751,-11.169,-35.583
-1.147,0.128,0.042,-8.85,-15.747,-32.104
-1.108,0.156,0.072,-13,-19.409,-28.381
-1.07,0.213,0.112,-12.329,-21.057,-28.198
-1.042,0.265,0.143,-11.108,-19.714,-30.945
-1.023,0.297,0.167,-8.972,-18.372,-32.898
-0.999,0.319,0.2,-3.601,-15.991,-35.034
-0.971,0.337,0.21,9.033,-9.705,-39.001
-0.942,0.323,0.172,17.883,-5.676,-45.349
-0.917,0.272,0.12,20.264,-5.005,-48.34
-0.896,0.224,0.083,19.104,-7.446,-46.387
-0.875,0.185,0.076,17.212,-10.986,-43.884
-0.863,0.145,0.106,13.977,-12.573,-40.71
-0.853,0.106,0.149,9.399,-9.216,-35.461
-0.847,0.084,0.162,8.545,-3.54,-28.931
-0.861,0.127,0.141,8.667,-0.854,-19.836
-0.871,0.249,0.127,3.662,0.366,-12.573
-0.872,0.375,0.109,5.615,3.906,-14.893
-0.872,0.423,0.07,7.874,4.7,-22.583
-0.877,0.386,0.055,14.038,0.977,-29.541
-0.885,0.322,0.085,14.282,-3.296,-30.518
-0.875,0.27,0.123,11.23,-0.732,-28.931
-0.862,0.218,0.116,14.526,4.272,-29.175
-0.86,0.152,0.073,16.968,5.615,-27.1
-0.87,0.121,0.024,14.343,1.648,-20.447
-0.882,0.163,0.027,3.479,-6.592,-13.245
-0.887,0.214,0.091,-1.16,-10.498,-13.367
-0.893,0.209,0.147,1.038,-7.874,-16.174
-0.902,0.166,0.154,3.906,-3.906,-15.381
-0.915,0.145,0.14,2.197,-3.601,-10.132
-0.915,0.176,0.146,-2.808,-4.395,-5.066
-0.901,0.202,0.158,-3.723,-1.099,-6.836
-0.894,0.171,0.148,-0.427,2.197,-9.521
-0.898,0.142,0.126,1.038,2.441,-6.531
-0.904,0.173,0.117,-3.113,1.831,-1.709
-0.904,0.225,0.115,-3.967,1.892,-2.808
-0.9,0.229,0.101,-0.61,2.136,-7.69
-0.9,0.178,0.083,4.333,0.183,-10.742
-0.903,0.137,0.088,5.249,-3.54,-9.338
-0.902,0.142,0.113,4.15,-5.432,-6.836
-0.899,0.139,0.131,5.066,-5.188,-8.789
-0.911,0.095,0.143,6.47,-6.165,-9.033
-0.93,0.058,0.175,5.798,-7.874,-4.456
-0.942,0.065,0.218,3.54,-5.493,0.977
-0.946,0.091,0.236,3.052,0.244,3.235
-0.947,0.1,0.218,7.263,4.761,3.845
-0.959,0.125,0.179,8.728,6.775,6.958
-0.968,0.204,0.133,5.554,8.545,9.033
-0.967,0.275,0.088,5.31,7.507,3.906
-0.96,0.268,0.063,6.775,2.38,-4.272
-0.948,0.201,0.065,7.751,-1.587,-8.484
-0.944,0.131,0.076,4.7,-4.456,-8.423
-0.947,0.071,0.106,0.183,-8.301,-6.958
-0.95,0.023,0.149,-0.793,-10.254,-3.723
-0.953,0.003,0.182,-1.77,-9.46,1.709
-0.957,0.027,0.197,-2.686,-7.69,7.446
-0.97,0.106,0.208,-5.249,-5.615,11.841
-0.988,0.194,0.225,-7.141,-2.625,10.437
-1.001,0.226,0.238,-3.784,1.892,5.127
-1.002,0.211,0.23,1.038,6.714,1.526
-0.993,0.192,0.196,3.174,11.536,-0.061
-0.983,0.173,0.151,1.099,14.16,-1.038
-0.972,0.139,0.113,1.892,13.672,-1.953
-0.96,0.096,0.084,3.357,10.986,-1.465
-0.949,0.065,0.067,3.784,7.568,1.16
-0.945,0.075,0.052,2.197,3.906,4.944
-0.95,0.112,0.053,-3.235,-0.061,6.775
-0.958,0.14,0.077,-3.662,-3.113,5.798
-0.966,0.154,0.102,-1.709,-3.906,5.005
-0.973,0.161,0.117,-0.244,-3.906,4.456
-0.982,0.164,0.138,-1.16,-3.967,4.517
-0.989,0.164,0.171,0.549,-2.93,4.272
-0.984,0.15,0.176,5.005,1.404,2.319
-0.974,0.116,0.141,5.92,4.15,1.343
-0.967,0.084,0.111,3.784,1.709,2.869
-0.964,0.071,0.117,1.343,-1.343,4.7
-0.965,0.079,0.133,-2.808,-0.671,6.897
-0.967,0.108,0.13,-4.639,0.732,9.033
-0.97,0.143,0.117,-3.845,0,9.277
-0.981,0.177,0.115,-2.258,-1.648,9.216
-0.992,0.219,0.13,-0.366,-2.808,8.423
-0.995,0.242,0.152,0.183,-1.221,4.395
-0.998,0.222,0.162,1.221,1.953,0.732
-0.997,0.192,0.153,1.77,3.906,0.122
-0.991,0.17,0.141,0.977,4.272,0.427
-0.986,0.154,0.139,-0.671,4.7,0.916
-0.986,0.144,0.138,-2.258,5.676,1.953
-0.986,0.153,0.133,-3.174,6.287,3.662
-0.984,0.181,0.127,-2.441,6.531,4.15
-0.982,0.212,0.119,-0.854,7.08,2.686
-0.981,0.223,0.105,-0.732,7.202,0.244
-0.977,0.208,0.091,0.732,5.554,-1.831
-0.97,0.176,0.088,1.77,3.235,-2.747
-0.965,0.144,0.099,0.366,0.977,-2.014
-0.966,0.128,0.125,-2.686,-0.244,0
-0.97,0.129,0.147,-2.686,0.427,1.465
-0.974,0.144,0.153,-2.502,2.014,3.174
-0.973,0.171,0.15,-3.357,3.418,4.211
-0.973,0.19,0.146,-2.686,4.15,2.625
-2.407,0.314,0.483,-41.931,9.521,12.268
-2.487,0.385,0.488,-28.198,21.973,8.911
-2.526,0.586,0.42,-33.691,30.334,10.132
-2.48,0.839,0.368,-45.715,35.828,-3.784
-2.368,0.959,0.325,-56.58,42.847,-34.729
-2.247,0.881,0.273,-63.354,45.288,-69.214
-2.113,0.696,0.233,-70.007,40.039,-92.285
-1.956,0.535,0.215,-73.425,32.959,-100.22
-1.792,0.418,0.197,-77.637,28.076,-105.164
-1.62,0.251,0.16,-88.562,26.672,-109.741
-1.463,0.034,0.092,-98.206,24.841,-107.788
-1.324,-0.144,-0.014,-105.164,20.203,-103.76
-1.198,-0.267,-0.14,-120.3,10.559,-95.398
-1.097,-0.337,-0.242,-139.465,-5.493,-79.773
-1.01,-0.348,-0.295,-160.767,-24.17,-63.354
-0.93,-0.318,-0.274,-185.852,-40.222,-52.368
-0.867,-0.29,-0.19,-192.871,-53.04,-46.387
-0.815,-0.278,-0.082,-182.8,-58.899,-46.448
-0.764,-0.251,0.017,-149.902,-54.26,-48.279
-0.73,-0.194,0.082,-93.872,-43.152,-49.255
-0.738,-0.117,0.095,-26.367,-29.907,-50.232
-0.778,-0.053,0.064,21.606,-23.315,-55.664
-0.824,-0.045,0.009,60.425,-27.283,-64.026
-0.872,-0.104,-0.087,80.933,-41.138,-68.726
-0.864,-0.192,-0.121,83.374,-60.852,-70.496
-0.813,-0.275,-0.04,95.703,-65.613,-69.58
-0.798,-0.365,0.069,93.872,-50.72,-67.688
-0.803,-0.457,0.145,80.933,-22.217,-66.895
-0.785,-0.521,0.148,75.745,9.583,-62.561
-0.744,-0.514,0.069,75.623,34.363,-51.758
-0.693,-0.422,-0.063,57.007,46.021,-37.598
-0.64,-0.282,-0.173,24.353,45.959,-24.963
-0.583,-0.145,-0.229,1.648,41.077,-18.188
-0.523,-0.048,-0.263,-9.338,33.508,-19.958
-0.479,0.012,-0.306,-29.114,21.423,-24.536
-0.455,0.003,-0.311,-76.294,-1.16,-30.457
-0.432,-0.088,-0.2,-121.765,-31.067,-37.781
-0.41,-0.189,0.006,-153.442,-55.786,-43.335
-0.377,-0.273,0.228,-168.64,-61.523,-46.204
-0.326,-0.331,0.383,-158.569,-44.8,-48.279
-0.259,-0.323,0.396,-157.471,-12.451,-46.387
-0.221,-0.28,0.293,-177.124,19.775,-41.138
-0.224,-0.328,0.125,-195.557,23.376,-11.597
-0.164,-0.317,0.039,-201.965,-0.061,40.771
-0.065,-0.13,0.117,-180.542,-7.385,65.002
-0.025,0.035,0.208,-153.015,6.409,62.683
-0.018,0.103,0.232,-117.554,19.47,54.504
0.007,0.127,0.208,-62.134,18.188,45.532
0.049,0.146,0.174,-6.958,11.902,34.851
0.086,0.166,0.132,20.508,11.841,24.78
0.114,0.185,0.067,31.128,13.611,15.93
0.127,0.216,-0.003,34.546,9.644,11.353
0.128,0.278,-0.032,27.222,1.953,10.376
0.123,0.336,-0.008,23.987,-2.808,4.395
0.115,0.349,0.009,42.969,-4.333,-5.981
0.102,0.313,-0.014,58.228,-8.728,-15.808
0.088,0.244,-0.03,64.27,-16.602,-22.705
0.073,0.171,-0.028,66.65,-23.743,-24.048
0.068,0.116,-0.04,60.913,-30.64,-19.958
0.08,0.084,-0.061,52.673,-42.236,-15.564
0.096,0.07,-0.059,46.326,-51.88,-15.015
0.099,0.052,-0.045,37.048,-56.946,-17.639
0.088,0.02,-0.025,31.677,-61.34,-18.982
0.076,-0.023,0.008,37.476,-63.232,-18.799
0.027,-0.093,0.035,51.697,-58.289,-15.564
-0.067,-0.17,0.024,62.866,-46.936,-5.31
-0.142,-0.193,-0.032,64.758,-34.973,11.047
-0.187,-0.155,-0.089,63.11,-28.931,27.039
-0.221,-0.087,-0.119,69.885,-30.09,37.476
-0.254,0.024,-0.13,77.393,-35.217,43.091
-0.282,0.191,-0.109,81.36,-38.269,43.701
-0.335,0.31,-0.061,96.558,-41.565,30.212
-0.429,0.3,0.004,112.427,-47.729,10.132
-0.541,0.206,0.082,132.08,-50.476,-5.737
-0.642,0.057,0.147,151.611,-47.485,-15.808
-0.69,-0.107,0.183,172.241,-39.307,-20.447
-0.713,-0.205,0.182,184.082,-29.724,-15.442
-0.729,-0.23,0.168,175.049,-20.752,-1.038
-0.713,-0.225,0.166,164.917,-14.343,16.052
-0.686,-0.215,0.188,155.151,-8.057,30.396
-0.727,-0.223,0.231,143.677,-5.188,43.03
-0.85,-0.254,0.293,126.831,-4.15,59.387
-0.995,-0.325,0.427,95.398,-0.122,75.317
-1.107,-0.403,0.583,81.97,13.672,92.59
-1.178,-0.377,0.623,77.209,35.461,119.202
-1.209,-0.214,0.561,51.941,57.007,150.024
-1.209,0.018,0.457,28.076,69.397,171.631
-1.224,0.239,0.308,17.09,67.383,177.856
-1.348,0.334,0.129,9.033,53.467,177.856
-1.529,0.441,0.117,-23.865,31.128,195.374
-1.717,0.682,0.307,-23.56,14.893,184.326
-1.941,0.801,0.525,41.077,-12.146,147.217
-2.141,0.677,0.712,98.755,-38.147,136.414
